2026-07-31 23:57:42 | INFO | audio_filter_tools.app | Starting Audio Filter Tools
2026-07-31 23:58:58 | INFO | audio_filter_tools.app | Scanning duplicate songs...
2026-07-31 23:59:00 | INFO | audio_filter_tools.app | Scan complete: 379 duplicate groups, 777 files
2026-08-01 00:05:52 | INFO | audio_filter_tools.app | Starting Audio Filter Tools
2026-08-01 00:06:52 | INFO | audio_filter_tools.app | Starting Audio Filter Tools
2026-08-01 00:07:56 | INFO | audio_filter_tools.app | Starting Audio Filter Tools
2026-08-01 00:10:30 | INFO | audio_filter_tools.app | Starting Audio Filter Tools
2026-08-01 00:11:40 | INFO | audio_filter_tools.app | Scanning duplicate songs...
2026-08-01 00:11:42 | INFO | audio_filter_tools.app | Scan complete: 388 duplicate groups, 795 files
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - A Death in Its Plenitude.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Ain t Death Grand.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Alone in the Dark (Death Angel s Shadow).flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Alone in the Dark (Death Angel s Shadow) (1).flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Amongst the Vultures.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - An Angel s Funeral.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Back Into The Shadows.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Bitter End.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Body of Clay.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Burden Of Time.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Cellos for the Insatiable.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Decline.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Departure.mp3
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Devil s Deal.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Estrangement.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Faded Years.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Feelings.flac
2026-08-01 00:12:58 | INFO | audio_filter_tools.storage | Deleting local file: /mnt/samsung4t/lost+found/usr/bin/github/CodexWorkFolder/MusicPrj/TelegramDownload/TMDownload/Agathodaimon - Ghost of a Soul.flac
